tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
SPAC1002.01	-	-	SPAC1002.01	-	-	I:1798346-1799015	-	-	32.1365	26.7989	37.474	OK
SPAC1002.02	-	-	SPAC1002.02	pom34	-	I:1799060-1800053	-	-	61.0347	55.5659	66.5035	OK
SPAC1002.03c	-	-	SPAC1002.03c	gls2	-	I:1799914-1803141	-	-	91.5362	86.6901	96.3823	OK
SPAC1002.04c	-	-	SPAC1002.04c	taf11	-	I:1803623-1804491	-	-	57.2119	52.091	62.3328	OK
SPAC1002.05c	-	-	SPAC1002.05c	jmj2	-	I:1804547-1806797	-	-	7.67223	6.60158	8.74287	OK
SPAC1002.06c	-	-	SPAC1002.06c	bqt2	-	I:1807269-1807781	-	-	0	0	0	OK
SPAC1002.07c	-	-	SPAC1002.07c	ats1	-	I:1807995-1809433	-	-	165.221	157.022	173.421	OK
SPAC1002.08c	-	-	SPAC1002.08c	mtf1	-	I:1809479-1811361	-	-	20.9781	19.0347	22.9214	OK
SPAC1002.09c	-	-	SPAC1002.09c	dld1	-	I:1811407-1813805	-	-	185.963	176.762	195.164	OK
SPAC1002.10c	-	-	SPAC1002.10c	sgt1	-	I:1813739-1815796	-	-	23.9599	21.7403	26.1795	OK
SPAC1002.11	-	-	SPAC1002.11	gaa1	-	I:1816489-1818558	-	-	22.8841	20.7303	25.0378	OK
SPAC1002.12c	-	-	SPAC1002.12c	-	-	I:1818481-1820420	-	-	30.4989	27.863	33.1347	OK
SPAC1002.13c	-	-	SPAC1002.13c	psu1	-	I:1821400-1823413	-	-	381.52	373.42	389.619	OK
SPAC1002.14	-	-	SPAC1002.14	itt1	-	I:1824569-1826248	-	-	27.8138	25.1541	30.4734	OK
SPAC1002.15c	-	-	SPAC1002.15c	pmc5	-	I:1824485-1827260	-	-	19.0757	17.3061	20.8453	OK
SPAC1002.16c	-	-	SPAC1002.16c	-	-	I:1827611-1829708	-	-	4.77767	3.90779	5.64755	OK
SPAC1002.17c	-	-	SPAC1002.17c	urg2	-	I:1830608-1831951	-	-	4.5256	3.41984	5.63136	OK
SPAC1002.18	-	-	SPAC1002.18	urg3	-	I:1832316-1833811	-	-	29.7479	27.1125	32.3832	OK
SPAC1002.19	-	-	SPAC1002.19	urg1	-	I:1835269-1837060	-	-	0.188364	0	0.376819	OK
SPAC1002.20	-	-	SPAC1002.20	-	-	I:1823881-1824630	-	-	0.274369	0	0.759123	OK
SPAC1006.01	-	-	SPAC1006.01	psp3	-	I:5067493-5069371	-	-	49.4229	46.4423	52.4035	OK
SPAC1006.02	-	-	SPAC1006.02	asa1	-	I:5069558-5070998	-	-	41.7087	38.0678	45.3497	OK
SPAC1006.03c	-	-	SPAC1006.03c	red1	-	I:5070930-5074055	-	-	43.1593	40.2169	46.1018	OK
SPAC1006.04c	-	-	SPAC1006.04c	mcp3	-	I:5074101-5078206	-	-	3.73783	3.1744	4.30127	OK
SPAC1006.05c	-	-	SPAC1006.05c	och1	-	I:5078288-5080499	-	-	43.538	40.9859	46.0901	OK
SPAC1006.06	-	-	SPAC1006.06	rgf2	-	I:5080717-5085055	-	-	51.2967	49.3467	53.2467	OK
SPAC1006.07	-	-	SPAC1006.07	-	-	I:5085485-5087031	-	-	1864.17	1843.64	1884.69	OK
SPAC1006.08	-	-	SPAC1006.08	etd1	-	I:5087985-5089638	-	-	22.196	20.009	24.3831	OK
SPAC1006.09	-	-	SPAC1006.09	win1	-	I:5089814-5094848	-	-	27.9927	26.676	29.3094	OK
SPAC1039.01	-	-	SPAC1039.01	-	-	I:5444359-5447537	-	-	20.6471	19.1323	22.1619	OK
SPAC1039.02	-	-	SPAC1039.02	-	-	I:5448734-5451642	-	-	57.1505	54.6364	59.6646	OK
SPAC1039.03	-	-	SPAC1039.03	-	-	I:5452104-5453867	-	-	18.9826	17.0748	20.8904	OK
